"Length","Left","Right","Bottom","Top","Diagonal","Genuine/Counterfeit"
"Quantity[215.5, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[8.2, ""Millimeters""]","Quantity[11.2, ""Millimeters""]","Quantity[139.2, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[11.8, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[139.8, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[12.1, ""Millimeters""]","Quantity[10.4, ""Millimeters""]","Quantity[139.9, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[140, ""Millimeters""]","genuine"
"Quantity[214.4, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[10.1, ""Millimeters""]","Quantity[12, ""Millimeters""]","Quantity[139.2, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[10.1, ""Millimeters""]","Quantity[12.1, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
"Quantity[215.1, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[12.3, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
"Quantity[215.3, ""Millimeters""]","Quantity[130.8, ""Millimeters""]","Quantity[131.1, ""Millimeters""]","Quantity[11.6, ""Millimeters""]","Quantity[10.6, ""Millimeters""]","Quantity[140.2, ""Millimeters""]","genuine"
"Quantity[215.1, ""Millimeters""]","Quantity[130.7, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[11.2, ""Millimeters""]","Quantity[139.7, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[9.9, ""Millimeters""]","Quantity[10.3, ""Millimeters""]","Quantity[140.1, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
"Quantity[215, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[9.4, ""Millimeters""]","Quantity[11.6, ""Millimeters""]","Quantity[140.2, ""Millimeters""]","genuine"
"Quantity[215.5, ""Millimeters""]","Quantity[130.7, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[11.8, ""Millimeters""]","Quantity[140, ""Millimeters""]","genuine"
"Quantity[215.1, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[10.1, ""Millimeters""]","Quantity[11.3, ""Millimeters""]","Quantity[140.3, ""Millimeters""]","genuine"
"Quantity[214.5, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[9.8, ""Millimeters""]","Quantity[12.1, ""Millimeters""]","Quantity[139.9, ""Millimeters""]","genuine"
"Quantity[214.3, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[139.8, ""Millimeters""]","genuine"
"Quantity[214.5, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[129.8, ""Millimeters""]","Quantity[12.3, ""Millimeters""]","Quantity[11.2, ""Millimeters""]","Quantity[139.2, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[10.6, ""Millimeters""]","Quantity[11.5, ""Millimeters""]","Quantity[139.9, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[11.8, ""Millimeters""]","Quantity[139.7, ""Millimeters""]","genuine"
"Quantity[214.2, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[11.2, ""Millimeters""]","Quantity[139.5, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[11.9, ""Millimeters""]","Quantity[11.1, ""Millimeters""]","Quantity[139.5, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[129.8, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[11.1, ""Millimeters""]","Quantity[139.4, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[130.7, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[9.3, ""Millimeters""]","Quantity[11.2, ""Millimeters""]","Quantity[138.3, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[11.3, ""Millimeters""]","Quantity[10.8, ""Millimeters""]","Quantity[139.8, ""Millimeters""]","genuine"
"Quantity[214.5, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[11.8, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[10, ""Millimeters""]","Quantity[11.9, ""Millimeters""]","Quantity[139.3, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[129.4, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[139.2, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[11.2, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[139.9, ""Millimeters""]","genuine"
"Quantity[215, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[10.6, ""Millimeters""]","Quantity[11.1, ""Millimeters""]","Quantity[139.9, ""Millimeters""]","genuine"
"Quantity[214.5, ""Millimeters""]","Quantity[129.8, ""Millimeters""]","Quantity[129.8, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[10, ""Millimeters""]","Quantity[139.3, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[11.9, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[139.8, ""Millimeters""]","genuine"
"Quantity[215, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[139.9, ""Millimeters""]","genuine"
"Quantity[215.3, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[9.3, ""Millimeters""]","Quantity[11.3, ""Millimeters""]","Quantity[138.1, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[139.4, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[9.9, ""Millimeters""]","Quantity[12.3, ""Millimeters""]","Quantity[139.4, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[11.9, ""Millimeters""]","Quantity[10.6, ""Millimeters""]","Quantity[139.8, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[129.7, ""Millimeters""]","Quantity[11.9, ""Millimeters""]","Quantity[10.1, ""Millimeters""]","Quantity[139, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[129.7, ""Millimeters""]","Quantity[129.3, ""Millimeters""]","Quantity[10.4, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[139.3, ""Millimeters""]","genuine"
"Quantity[214.5, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[12.1, ""Millimeters""]","Quantity[10.3, ""Millimeters""]","Quantity[139.4, ""Millimeters""]","genuine"
"Quantity[214.5, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[11.5, ""Millimeters""]","Quantity[139.5, ""Millimeters""]","genuine"
"Quantity[215.1, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[11.6, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[139.7, ""Millimeters""]","genuine"
"Quantity[214.2, ""Millimeters""]","Quantity[129.7, ""Millimeters""]","Quantity[129.6, ""Millimeters""]","Quantity[10.3, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[139.5, ""Millimeters""]","genuine"
"Quantity[214.4, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[11.3, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[139.2, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[12.5, ""Millimeters""]","Quantity[10, ""Millimeters""]","Quantity[139.3, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[8.1, ""Millimeters""]","Quantity[12.1, ""Millimeters""]","Quantity[137.9, ""Millimeters""]","genuine"
"Quantity[215.6, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[129.7, ""Millimeters""]","Quantity[7.4, ""Millimeters""]","Quantity[12.2, ""Millimeters""]","Quantity[138.4, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[9.9, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[138.1, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[11.5, ""Millimeters""]","Quantity[10.6, ""Millimeters""]","Quantity[139.5, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[11.6, ""Millimeters""]","Quantity[10.9, ""Millimeters""]","Quantity[139.1, ""Millimeters""]","genuine"
"Quantity[214.3, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[139.8, ""Millimeters""]","genuine"
"Quantity[215.1, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[10.3, ""Millimeters""]","Quantity[12, ""Millimeters""]","Quantity[139.7, ""Millimeters""]","genuine"
"Quantity[216.3, ""Millimeters""]","Quantity[130.7, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[10, ""Millimeters""]","Quantity[10.1, ""Millimeters""]","Quantity[138.8, ""Millimeters""]","genuine"
"Quantity[215.6, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[9.6, ""Millimeters""]","Quantity[11.2, ""Millimeters""]","Quantity[138.6, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[129.8, ""Millimeters""]","Quantity[9.6, ""Millimeters""]","Quantity[12, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[10.9, ""Millimeters""]","Quantity[139.7, ""Millimeters""]","genuine"
"Quantity[213.9, ""Millimeters""]","Quantity[130.7, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[8.7, ""Millimeters""]","Quantity[11.5, ""Millimeters""]","Quantity[137.8, ""Millimeters""]","genuine"
"Quantity[214.2, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[12, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[11.8, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[139.4, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[129.6, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[10.4, ""Millimeters""]","Quantity[11.6, ""Millimeters""]","Quantity[139.2, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[11.9, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[139, ""Millimeters""]","genuine"
"Quantity[214.3, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[11.6, ""Millimeters""]","Quantity[10.5, ""Millimeters""]","Quantity[139.7, ""Millimeters""]","genuine"
"Quantity[214.5, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[9.9, ""Millimeters""]","Quantity[12, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[12.1, ""Millimeters""]","Quantity[139.1, ""Millimeters""]","genuine"
"Quantity[214.5, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[8.2, ""Millimeters""]","Quantity[11.8, ""Millimeters""]","Quantity[137.8, ""Millimeters""]","genuine"
"Quantity[215, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[139.1, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[8, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[138.7, ""Millimeters""]","genuine"
"Quantity[215, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[139.3, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[10.1, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[139.3, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[130.1, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[11.1, ""Millimeters""]","Quantity[139.5, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[11.5, ""Millimeters""]","Quantity[10.7, ""Millimeters""]","Quantity[139.4, ""Millimeters""]","genuine"
"Quantity[214.5, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[8, ""Millimeters""]","Quantity[12.2, ""Millimeters""]","Quantity[138.5, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130, ""Millimeters""]","Quantity[129.7, ""Millimeters""]","Quantity[11.4, ""Millimeters""]","Quantity[10.6, ""Millimeters""]","Quantity[139.2, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[9.6, ""Millimeters""]","Quantity[11.9, ""Millimeters""]","Quantity[139.4, ""Millimeters""]","genuine"
"Quantity[214.6, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[12.7, ""Millimeters""]","Quantity[9.1, ""Millimeters""]","Quantity[139.2, ""Millimeters""]","genuine"
"Quantity[215.1, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[129.8, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[12, ""Millimeters""]","Quantity[139.4, ""Millimeters""]","genuine"
"Quantity[215.4, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.6, ""Millimeters""]","Quantity[8.8, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[138.6, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[130.2, ""Millimeters""]","Quantity[10.8, ""Millimeters""]","Quantity[11.1, ""Millimeters""]","Quantity[139.2, ""Millimeters""]","genuine"
"Quantity[215, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[9.6, ""Millimeters""]","Quantity[11, ""Millimeters""]","Quantity[138.5, ""Millimeters""]","genuine"
"Quantity[214.9, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[130.5, ""Millimeters""]","Quantity[11.6, ""Millimeters""]","Quantity[10.6, ""Millimeters""]","Quantity[139.8, ""Millimeters""]","genuine"
"Quantity[215, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[9.9, ""Millimeters""]","Quantity[12.1, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
"Quantity[215.1, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[10.3, ""Millimeters""]","Quantity[11.5, ""Millimeters""]","Quantity[139.7, ""Millimeters""]","genuine"
"Quantity[214.8, ""Millimeters""]","Quantity[130.3, ""Millimeters""]","Quantity[130.4, ""Millimeters""]","Quantity[10.6, ""Millimeters""]","Quantity[11.1, ""Millimeters""]","Quantity[140, ""Millimeters""]","genuine"
"Quantity[214.7, ""Millimeters""]","Quantity[130.7, ""Millimeters""]","Quantity[130.8, ""Millimeters""]","Quantity[11.2, ""Millimeters""]","Quantity[11.2, ""Millimeters""]","Quantity[139.4, ""Millimeters""]","genuine"
"Quantity[214.3, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[129.9, ""Millimeters""]","Quantity[10.2, ""Millimeters""]","Quantity[11.5, ""Millimeters""]","Quantity[139.6, ""Millimeters""]","genuine"
